101,El Padrino,1972,Francis Ford Coppola,Drama,https://es.web.img3.acsta.net/pictures/18/06/12/12/12/0117051.jpg?coixp=49&coiyp=27
102,El Caballero Oscuro,2008,Christopher Nolan,Acción,https://i.pinimg.com/736x/d1/7a/b9/d17ab952c135f0f2e0421af75889d64d.jpg
103,Pulp Fiction,1994,Quentin Tarantino,Crimen,https://static.posters.cz/image/750/pulp-fiction-cover-i1288.jpg
104,La Lista de Schindler,1993,Steven Spielberg,Histórico,https://es.web.img2.acsta.net/pictures/14/02/27/09/35/442750.jpg
105,Forrest Gump,1994,Robert Zemeckis,Drama,https://image.tmdb.org/t/p/original/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
106,El Señor de los Anillos,2001,Peter Jackson,Fantasía,https://pics.filmaffinity.com/El_seanor_de_los_anillos_La_comunidad_del_anillo-952398002-large.jpg
107,Matrix,1999,Lana Wachowski y Lilly Wachowski,Ciencia ficción,https://www.originalfilmart.com/cdn/shop/products/the_matrix_1999_bus_stop_original_film_art_5000x.jpg?v=1593131403
108,El Silencio de los Corderos,1991,Jonathan Demme,Thriller,https://pics.filmaffinity.com/the_silence_of_the_lambs-767447992-large.jpg
109,Regreso al Futuro,1985,Robert Zemeckis,Ciencia ficción,https://www.posterscine.com/media/catalog/product/cache/1c91d037a1f0ef180108abb0973795cc/p/o/poster_regreso_al_futuro_1985.png
110,Tiburón,1975,Steven Spielberg,Terror,https://i.etsystatic.com/31354435/r/il/7df308/3253299542/il_570xN.3253299542_bwni.jpg
